id;title;price;image;image_content_type
93999bb9-7c3d-415a-9202-8aca71d24dd2;sheepishly fruitful lest;8325.79;../fake-data/blob/hipster.png;image/png
21da5c45-f026-4763-99ab-50b1cc7bde47;settle fooey;4266.68;../fake-data/blob/hipster.png;image/png
3470c3bb-8173-440c-84a4-a5bfdb61562d;ew mortally;15003.33;../fake-data/blob/hipster.png;image/png
af322bdc-e51d-45a0-91d8-5ccf76f99743;short;4301.94;../fake-data/blob/hipster.png;image/png
b35a1506-c397-4a8d-be35-0f6cc586d179;retract gee zealous;3420.37;../fake-data/blob/hipster.png;image/png
5d0b0109-da4e-4015-a99f-f3f17b8e318e;downright capitalise;16082.43;../fake-data/blob/hipster.png;image/png
7f85bf54-60ef-4c74-96bc-81845b6d54b0;if pace;21694.84;../fake-data/blob/hipster.png;image/png
ba606664-db38-44d4-9839-9ecbe6a8932f;wherever cannibalise milky;13667;../fake-data/blob/hipster.png;image/png
c32b82cf-6bd8-467b-8f3e-6f49169e2753;justly astride;13264.3;../fake-data/blob/hipster.png;image/png
ddde2e66-55e7-4862-b851-1e10005b107f;powerless ew finally;9977.62;../fake-data/blob/hipster.png;image/png
28e386db-5ee2-4c78-bcf7-8fd3cfe92a4c;confused easily below;11512.08;../fake-data/blob/hipster.png;image/png
7bce42ae-9a66-4813-bced-2ca127691b87;even healthily which;18359.59;../fake-data/blob/hipster.png;image/png
7c640ce5-6e38-4c8e-a323-148f9fdde021;atomize unto insidious;12947.4;../fake-data/blob/hipster.png;image/png
66c1797e-6ea9-4129-94ab-427b0f36af1b;joyfully winding lock;10864.1;../fake-data/blob/hipster.png;image/png
c587bbd3-b029-4ba6-8869-91b0f2f1b362;well clinch so;15976.03;../fake-data/blob/hipster.png;image/png
eb1b729b-bd32-4197-97c2-89044222e450;below indeed;30674.99;../fake-data/blob/hipster.png;image/png
d39308ff-eb3e-44bc-93d6-0c2c073e4fd3;unlike brr outflank;11993.53;../fake-data/blob/hipster.png;image/png
3b20d3f1-f445-4277-a063-4046deb9c74b;up;30954.18;../fake-data/blob/hipster.png;image/png
024ec9e9-3415-43cf-bc6b-41ebb52cb2db;via yuck;5641.85;../fake-data/blob/hipster.png;image/png
64e397f9-139f-4166-98b4-169e3236a583;sharply monumental since;24266.35;../fake-data/blob/hipster.png;image/png
c5c07c23-bc7f-4ceb-9634-2600f4745ce0;outfox zany;4849.29;../fake-data/blob/hipster.png;image/png
78c04cb1-ebb7-4ff9-96b7-0e96e04535af;advocate;28026.23;../fake-data/blob/hipster.png;image/png
7bcf4bc7-b4a4-46b1-af40-bde8c6b234b4;zowie metal;25541.17;../fake-data/blob/hipster.png;image/png
178973de-1767-43d0-9c24-c850869c174d;king;30192.77;../fake-data/blob/hipster.png;image/png
34ba5d8f-ac86-4dcf-9461-966e1ac81e81;immediately flame;28026.92;../fake-data/blob/hipster.png;image/png
18c2190a-fe78-4df5-81b3-9bd80f100ec2;because;21695.88;../fake-data/blob/hipster.png;image/png
a3b0651d-f042-4ca8-84e5-26d4d0c027b2;institutionalize;20851.9;../fake-data/blob/hipster.png;image/png
52e2cc99-4259-495c-a0fa-bb70763dc8a0;frantically till cap;24813.79;../fake-data/blob/hipster.png;image/png
578c6937-0599-4db8-abec-7928e7686855;moisten;28258.24;../fake-data/blob/hipster.png;image/png
3f87e048-77ef-457d-8768-3c353587d486;ha physically;26677.01;../fake-data/blob/hipster.png;image/png
